|faction_id|name|id|type|cp_cost|legend|turn|phase|detachment|detachment_id|description|Unnamed: 11
1077|SM|PERFERVID INTERVENTION|10397007|Vindication Task Force – Strategic Ploy Stratagem|2.0|When the Emperor blesses his crusaders with the opportunity to seize the initiative, none refuse.|Opponent’s turn|Charge phase|Vindication Task Force|1092.0|"<b>WHEN:</b> End of your opponent’s <a href=""/wh40k10ed/the-rules/core-rules/#CHARGE-PHASE"">Charge phase</a>.<br><br><b>TARGET:</b> One <span class=""kwb"">ADEPTUS</span> <span class=""kwb"">ASTARTES</span> unit from your army that is within 6"" of one or more enemy units and would be eligible to <a href=""/wh40k10ed/the-rules/core-rules/#CHARGE-PHASE"">declare a charge</a> against one or more of those enemy units if it were your Charge phase.<br><br><b>EFFECT:</b> Your unit now declares a charge that only targets one or more of those enemy units, and you resolve that charge.<br><br><b>RESTRICTIONS:</b> Note that even if this charge is successful, your unit does not receive any <a href=""/wh40k10ed/the-rules/core-rules/#Charge-Bonus"">Charge bonus</a> this turn."|
1078|SM|TACTICAL MASTERY|10161005|Wrath of the Rock – Battle Tactic Stratagem|1.0|When the constituent elements of the Dark Angels fight as one, the enemy is often overwhelmed and torn apart by the fluidity of the Chapter’s rapid advances, tactical withdrawals and unexpected counteroffensives.|Your turn|Movement phase|Wrath of the Rock|1059.0|"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/core-rules/#MOVEMENT-PHASE"">Movement phase</a>.<br><br><b>TARGET:</b> One <span class=""kwb"">ADEPTUS</span> <span class=""kwb"">ASTARTES</span> unit from your army.<br><br><b>EFFECT:</b> Until the end of the turn, your unit is eligible to shoot and <a href=""/wh40k10ed/the-rules/core-rules/#CHARGE-PHASE"">declare a charge</a> in a turn in which it <a href=""/wh40k10ed/the-rules/core-rules/#Advance-Moves"">Advanced</a>. If your unit has the <span class=""tooltip00197"" data-tooltip-content=""#tooltip_content00197"" data-tooltip-anchor=""#tooltip_content00197""><span class=""kwb"">RAVENWING</span></span> keyword, it is also eligible to shoot and declare a charge in a turn in which it <a href=""/wh40k10ed/the-rules/core-rules/#Fall-Back-Moves"">Fell Back</a>."|
1079|SM|ARMOUR OF CONTEMPT|10161004|Wrath of the Rock – Battle Tactic Stratagem|1.0|The belligerence of the Adeptus Astartes combined with their transhuman physiology makes them unyielding foes to face.|Either player’s turn|Shooting or Fight phase|Wrath of the Rock|1059.0|"<b>WHEN:</b> Your opponent’s <a href=""/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE"">Shooting phase</a> or the <a href=""/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE"">Fight phase</a>, just after an enemy unit has selected its targets.<br><br><b>TARGET:</b> One <span class=""kwb"">ADEPTUS</span> <span class=""kwb"">ASTARTES</span> unit from your army that was selected as the target of one or more of the attacking unit’s attacks.<br><br><b>EFFECT:</b> Until the attacking unit has finished making its attacks, each time an attack targets your unit, worsen the Armour Penetration characteristic of that attack by 1."|
1080|SM|INESCAPABLE JUSTICE|10161002|Wrath of the Rock – Battle Tactic Stratagem|2.0|The Dark Angels pursue their enemies relentlessly, eliminating one with ruthless precision before turning to the next.|Either player’s turn|Any phase|Wrath of the Rock|1059.0|"<b>WHEN:</b> Any phase, just after your <span class=""tooltip00227"" data-tooltip-content=""#tooltip_content00227""><span class=""tt kwbu"">Oath</span> <span class=""tt kwbu"">of</span> <span class=""tt kwbu"">Moment</span> <span class=""tt kwbu"">target</span></span> is destroyed.<br><br><b>TARGET:</b> One <span class=""tooltip00584"" data-tooltip-content=""#tooltip_content00584"" data-tooltip-anchor=""#tooltip_content00584""><span class=""kwb"">ADEPTUS</span> <span class=""kwb"">ASTARTES</span> <span class=""kwb"">CHARACTER</span></span> unit that is on the battlefield.<br><br><b>EFFECT:</b> Select one enemy unit within 12"" and <a href=""/wh40k10ed/the-rules/core-rules/#Determining-Visibility"">visible</a> to your unit. That enemy unit becomes your Oath of Moment target until the start of your next <a href=""/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE"">Command phase</a>."|
1081|SM|LEONINE AGGRESSION|10161007|Wrath of the Rock – Strategic Ploy Stratagem|1.0|The Dark Angels are always aggressive in their waging of war, seizing any opportunity to pounce upon and annihilate their prey.|Opponent’s turn|Charge phase|Wrath of the Rock|1059.0|"<b>WHEN:</b> End of your opponent’s <a href=""/wh40k10ed/the-rules/core-rules/#CHARGE-PHASE"">Charge phase</a>.<br><br><b>TARGET:</b> One <span class=""kwb"">ADEPTUS</span> <span class=""kwb"">ASTARTES</span> unit from your army within 3"" of one or more enemy units, or one <span class=""tooltip00200"" data-tooltip-content=""#tooltip_content00200"" data-tooltip-anchor=""#tooltip_content00200""><span class=""kwb"">DEATHWING</span></span> unit from your army within 6"" of one or more enemy units.<br><br><b>EFFECT:</b> Your unit now <a href=""/wh40k10ed/the-rules/core-rules/#Charging-with-a-Unit"">declares a charge</a> that only targets one or more of those enemy units, and you resolve that charge.<br><br><b>RESTRICTIONS:</b> Note that even if this charge is successful, your unit does not receive any <a href=""/wh40k10ed/the-rules/core-rules/#Charge-Bonus"">Charge bonus</a> this turn."|
1082|SM|RELICS OF THE DARK AGE|10161006|Wrath of the Rock – Strategic Ploy Stratagem|1.0|Amongst the many secrets hoarded by the Dark Angels are those technological in nature. The armouries of the Rock contain potent weapons unseen in the armouries of other Chapters.|Your turn|Shooting phase|Wrath of the Rock|1059.0|"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE"">Shooting phase</a>.<br><br><b>TARGET:</b> One <span class=""tooltip00301"" data-tooltip-content=""#tooltip_content00301"" data-tooltip-anchor=""#tooltip_content00301""><span class=""kwb"">ADEPTUS</span> <span class=""kwb"">ASTARTES</span> <span class=""kwb"">INFANTRY</span></span> or <span class=""tooltip00305"" data-tooltip-content=""#tooltip_content00305"" data-tooltip-anchor=""#tooltip_content00305""><span class=""kwb"">ADEPTUS</span> <span class=""kwb"">ASTARTES</span> <span class=""kwb"">MOUNTED</span></span> unit from your army that has not been selected to shoot this phase.<br><br><b>EFFECT:</b> Until the end of the phase, add 2 to the Strength characteristic of ranged weapons equipped by models in your unit."|
1083|SM|LION’S WILL|10161003|Wrath of the Rock – Strategic Ploy Stratagem|1.0|Unflinching in their loyalty to Chapter and Primarch, Dark Angels battle-brothers seize and hold their objectives with unrelenting determination and zealous fury.|Either player’s turn|Command phase|Wrath of the Rock|1059.0|"<b>WHEN:</b> <a href=""/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE"">Command phase</a>.<br><br><b>TARGET:</b> One <span class=""kwb"">ADEPTUS</span> <span class=""kwb"">ASTARTES</span> unit from your army that is within <a href=""/wh40k10ed/the-rules/core-rules/#Engagement-Range"">Engagement Range</a> of one or more enemy units.<br><br><b>EFFECT:</b> Until the start of your next Command phase, add 1 to the Objective Control characteristic of models in your unit. In addition, until the end of the turn, if your unit does not have the <span class=""tooltip00200"" data-tooltip-content=""#tooltip_content00200"" data-tooltip-anchor=""#tooltip_content00200""><span class=""kwb"">DEATHWING</span></span>, <span class=""tooltip00197"" data-tooltip-content=""#tooltip_content00197"" data-tooltip-anchor=""#tooltip_content00197""><span class=""kwb"">RAVENWING</span></span> or <span class=""tooltip00199"" data-tooltip-content=""#tooltip_content00199"" data-tooltip-anchor=""#tooltip_content00199""><span class=""kwb"">VEHICLE</span></span> keyword, each time a model in your unit makes an attack, add 1 to the <a href=""/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll"">Hit roll</a>."|
1084|SM|ARMOUR OF CONTEMPT|9844003|Wrathful Procession – Battle Tactic Stratagem|1.0|The belligerence and transhuman physiologies of the Adeptus Astartes make them unyielding foes.|Either player’s turn|Shooting or Fight phase|Wrathful Procession|1006.0|"<b>WHEN:</b> Your opponent’s <a href=""/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE"">Shooting phase</a> or the <a href=""/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE"">Fight phase</a>, just after an enemy unit has selected its targets.<br><br><b>TARGET:</b> One <span class=""kwb"">ADEPTUS</span> <span class=""kwb"">ASTARTES</span> unit from your army that was selected as the target of one or more of the attacking unit’s attacks.<br><br><b>EFFECT:</b> Until the attacking unit has finished making its attacks, each time an attack targets your unit, worsen the Armour Penetration characteristic of that attack by 1."|
1085|SM|FUELLED BY FAITH|9844002|Wrathful Procession – Battle Tactic Stratagem|1.0|So powerfully gripped by holy fervour are these warriors that they fight on through even the most grievous wounds to body and mind.|Either player’s turn|Any phase|Wrathful Procession|1006.0|"<b>WHEN:</b> Any phase, just after a <a href=""/wh40k10ed/the-rules/core-rules/#Mortal-Wounds"">mortal wound</a> is allocated to an <span class=""kwb"">ADEPTUS</span> <span class=""kwb"">ASTARTES</span> unit from your army.<br><br><b>TARGET:</b> That <span class=""kwb"">ADEPTUS</span> <span class=""kwb"">ASTARTES</span> unit.<br><br><b>EFFECT:</b> Until the end of the phase, models in your unit have the <span class=""tooltip00059"" data-tooltip-content=""#tooltip_content00059""><span class=""tt kwbu"">Feel</span> <span class=""tt kwbu"">No</span> <span class=""tt kwbu"">Pain</span> <span class=""tt kwbu"">5+</span></span> ability against mortal wounds."|
1086|SM|CASTIGATE THE DEMAGOGUES|9844004|Wrathful Procession – Battle Tactic Stratagem|1.0|There is nowhere that the architects of heresy can hide from the righteous judgement of the Black Templars.|Either player’s turn|Fight phase|Wrathful Procession|1006.0|"<b>WHEN:</b> <a href=""/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE"">Fight phase</a>.<br><br><b>TARGET:</b> One <span class=""kwb"">ADEPTUS</span> <span class=""kwb"">ASTARTES</span> unit from your army that has not been selected to fight this phase.<br><br><b>EFFECT:</b> Until the end of the phase, melee weapons equipped by models in your unit have the <span class=""kwb2 bluefont""><a href=""/wh40k10ed/the-rules/core-rules/#Precision"">[PRECISION]</a></span> ability."|
1087|SM|BRUTE FERVOUR|9844005|Wrathful Procession – Battle Tactic Stratagem|1.0|All the enemy’s skill, cunning and trickery come to naught in the face of the Black Templars’ direct and unrelenting brutality.|Either player’s turn|Fight phase|Wrathful Procession|1006.0|"<b>WHEN:</b> <a href=""/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE"">Fight phase</a>.<br><br><b>TARGET:</b> One <span class=""kwb"">ADEPTUS</span> <span class=""kwb"">ASTARTES</span> unit from your army that has not been selected to fight this phase.<br><br><b>EFFECT:</b> Until the end of the phase, each time a model in your unit makes an attack, re-roll a <a href=""/wh40k10ed/the-rules/core-rules/#1.-Hit-Roll"">Hit roll</a> of 1 and you can ignore any or all modifiers to the following: that attack’s Weapon Skill characteristic; the Hit roll; the <a href=""/wh40k10ed/the-rules/core-rules/#2.-Wound-Roll"">Wound roll</a>."|
1088|SM|VOICE OF DEVOTION|9844007|Wrathful Procession – Strategic Ploy Stratagem|1.0|In the crucial moment, these battle-brothers switch to the most apposite devotional litany just as they might select the correct weapon from the Chapter’s armouries.|Your turn|Command phase|Wrathful Procession|1006.0|"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE"">Command phase</a>.<br><br><b>TARGET:</b> One <span class=""tooltip00301"" data-tooltip-content=""#tooltip_content00301"" data-tooltip-anchor=""#tooltip_content00301""><span class=""kwb"">ADEPTUS</span> <span class=""kwb"">ASTARTES</span> <span class=""kwb"">INFANTRY</span></span> or <span class=""tooltip00305"" data-tooltip-content=""#tooltip_content00305"" data-tooltip-anchor=""#tooltip_content00305""><span class=""kwb"">ADEPTUS</span> <span class=""kwb"">ASTARTES</span> <span class=""kwb"">MOUNTED</span></span> unit from your army.<br><br><b>EFFECT:</b> Select the Chorus of Relentless Hate, Rite of Perfervid Wrath or Chant of Deathless Devotion <span class=""tooltip00797"" data-tooltip-content=""#tooltip_content00797""><span class=""tt kwbu"">Litany</span></span>. Until the end of the <a href=""/wh40k10ed/the-rules/core-rules/#The-Battle-Round"">battle round</a>, that Litany is active for your unit instead of any other Litany that is active for your army."|
1089|SM|RELENTLESS MOMENTUM|9844006|Wrathful Procession – Strategic Ploy Stratagem|1.0|The sheer momentum and ferocity of so many charging, armoured killers are almost impossible to stop, carrying them forward through rank after rank of the heretical foe.|Either player’s turn|Fight phase|Wrathful Procession|1006.0|"<b>WHEN:</b> <a href=""/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE"">Fight phase</a>.<br><br><b>TARGET:</b> One <span class=""kwb"">ADEPTUS</span> <span class=""kwb"">ASTARTES</span> unit from your army that has not been selected to fight this phase and is within <a href=""/wh40k10ed/the-rules/core-rules/#Engagement-Range"">Engagement Range</a> of one or more enemy units.<br><br><b>EFFECT:</b> Until the end of the phase, when determining which models in your unit are eligible to fight, any models in it that are within 3"" of one or more enemy models are eligible to fight. When resolving those attacks, such models can target one of those enemy units that is within 3"" of them and within Engagement Range of their unit."|
1090|TAU|GUIDED FIRE|9840007|Auxiliary Cadre – Battle Tactic Stratagem|1.0|These Fire Warriors employ sensory data fed to them by supporting alien auxiliary units to maximise accuracy and place their shots against weak points they might not have perceived.|Your turn|Shooting phase|Auxiliary Cadre|1005.0|"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE"">Shooting phase</a>.<br><br><b>TARGET:</b> One <span class=""kwb"">T’AU</span> <span class=""kwb"">EMPIRE</span> unit from your army (excluding <span class=""tooltip00317"" data-tooltip-content=""#tooltip_content00317"" data-tooltip-anchor=""#tooltip_content00317""><span class=""kwb"">KROOT</span></span> and <a class=""kwbOne"" href=""/wh40k10ed/factions/t-au-empire/Vespid-Stingwings""><span class=""kwb kwbo"">VESPID</span> <span class=""kwb kwbo"">STINGWINGS</span></a> units) that has not been selected to shoot this phase.<br><br><b>EFFECT:</b> Until the end of the phase, add 1 to the Strength characteristic of ranged weapons equipped by models in your unit. If your unit is wholly within 9"" of one or more <span class=""kwb"">KROOT</span> or <span class=""kwb"">VESPID</span> <span class=""kwb"">STINGWINGS</span> units from your army, add 2 to the Strength characteristic of ranged weapons equipped by models in your unit instead."|
1091|TAU|ALIEN EXPERTISE|9840006|Auxiliary Cadre – Battle Tactic Stratagem|1.0|There is much that the alien auxiliaries of the T’au empire can teach the Fire caste, not least through practical and deadly battlefield demonstrations.|Your turn|Movement phase|Auxiliary Cadre|1005.0|"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/core-rules/#MOVEMENT-PHASE"">Movement phase</a>.<br><br><b>TARGET:</b> One <span class=""kwb"">T’AU</span> <span class=""kwb"">EMPIRE</span> unit from your army.<br><br><b>EFFECT:</b> Until the end of the turn, your unit is eligible to shoot in a turn in which it <a href=""/wh40k10ed/the-rules/core-rules/#Advance-Moves"">Advanced</a>. If it is a <span class=""tooltip00317"" data-tooltip-content=""#tooltip_content00317"" data-tooltip-anchor=""#tooltip_content00317""><span class=""kwb"">KROOT</span></span> or <a class=""kwbOne"" href=""/wh40k10ed/factions/t-au-empire/Vespid-Stingwings""><span class=""kwb kwbo"">VESPID</span> <span class=""kwb kwbo"">STINGWINGS</span></a> unit, until the end of the turn, your unit is eligible to <a href=""/wh40k10ed/the-rules/core-rules/#CHARGE-PHASE"">declare a charge</a> in a turn in which it Advanced as well."|
1092|TAU|MULTISENSORY SCANNING|9840003|Auxiliary Cadre – Battle Tactic Stratagem|1.0|Target analysis data from scanning drones is rapidly translated into inputs ideally tailored to a range of alien sensoria and then disseminated through the cadre.|Either player’s turn|Shooting or Fight phase|Auxiliary Cadre|1005.0|"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE"">Shooting phase</a> or the <a href=""/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE"">Fight phase</a>.<br><br><b>TARGET:</b> One <span class=""kwb"">T’AU</span> <span class=""kwb"">EMPIRE</span> unit from your army that has not been selected to shoot or fight this phase.<br><br><b>EFFECT:</b> Until the end of the phase, each time a model in your unit makes an attack, re-roll a <a href=""/wh40k10ed/the-rules/core-rules/#2.-Wound-Roll"">Wound roll</a> of 1. If it is a <span class=""tooltip00317"" data-tooltip-content=""#tooltip_content00317"" data-tooltip-anchor=""#tooltip_content00317""><span class=""kwb"">KROOT</span></span> or <a class=""kwbOne"" href=""/wh40k10ed/factions/t-au-empire/Vespid-Stingwings""><span class=""kwb kwbo"">VESPID</span> <span class=""kwb kwbo"">STINGWINGS</span></a> unit, you can re-roll the Wound roll instead."|
1093|TAU|INTERLOCKING MANOUEVRES|9840004|Auxiliary Cadre – Strategic Ploy Stratagem|1.0|Regular Fire caste forces operating as part of auxiliary cadres are well trained in swift repositioning and fighting retreats, the better to exploit the presence of or provide support for their alien comrades.|Either player’s turn|Fight phase|Auxiliary Cadre|1005.0|"<b>WHEN:</b> End of the <a href=""/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE"">Fight phase</a>.<br><br><b>TARGET:</b> One <span class=""kwb"">T’AU</span> <span class=""kwb"">EMPIRE</span> unit from your army that was eligible to fight this phase.<br><br><b>EFFECT:</b> If your unit is not within <a href=""/wh40k10ed/the-rules/core-rules/#Engagement-Range"">Engagement Range</a> of one or more enemy units, it can make a <a href=""/wh40k10ed/the-rules/core-rules/#Normal-Moves"">Normal move</a> of up to 6"". Otherwise, your unit can make a <a href=""/wh40k10ed/the-rules/core-rules/#Fall-Back-Moves"">Fall Back move</a>. It cannot <a href=""/wh40k10ed/the-rules/core-rules/#Embark"">embark</a> within a <span class=""tooltip00798"" data-tooltip-content=""#tooltip_content00798"" data-tooltip-anchor=""#tooltip_content00798""><span class=""kwb"">TRANSPORT</span></span> at the end of this move if it disembarked from a <span class=""kwb"">TRANSPORT</span> this turn."|
1094|TAU|EXPERIMENTAL MODIFICATIONS|9840002|Auxiliary Cadre – Strategic Ploy Stratagem|1.0|These experimental Earth caste weapon upgrades can only activate for short bursts at a time, but the extra stopping power they provide is formidable.|Either player’s turn|Shooting or Fight phase|Auxiliary Cadre|1005.0|"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE"">Shooting phase</a> or the <a href=""/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE"">Fight phase</a>.<br><br><b>TARGET:</b> One <span class=""tooltip00317"" data-tooltip-content=""#tooltip_content00317"" data-tooltip-anchor=""#tooltip_content00317""><span class=""kwb"">KROOT</span></span> or <a class=""kwbOne"" href=""/wh40k10ed/factions/t-au-empire/Vespid-Stingwings""><span class=""kwb kwbo"">VESPID</span> <span class=""kwb kwbo"">STINGWINGS</span></a> unit from your army that has not been selected to shoot or fight this phase.<br><br><b>EFFECT:</b> Until the end of the phase, improve the Armour Penetration characteristic of weapons equipped by models in your unit by 1."|
1095|TAU|PHEROMONE WAYPOINTS|9840005|Auxiliary Cadre – Strategic Ploy Stratagem|1.0|Air caste craft have dropped drones that emit pheromones into this region, their emissions invisible but blazing like beacons to the correct alien senses.|Your turn|Movement phase|Auxiliary Cadre|1005.0|"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/core-rules/#MOVEMENT-PHASE"">Movement phase</a>.<br><br><b>TARGET:</b> One <span class=""tooltip00317"" data-tooltip-content=""#tooltip_content00317"" data-tooltip-anchor=""#tooltip_content00317""><span class=""kwb"">KROOT</span></span> or <a class=""kwbOne"" href=""/wh40k10ed/factions/t-au-empire/Vespid-Stingwings""><span class=""kwb kwbo"">VESPID</span> <span class=""kwb kwbo"">STINGWINGS</span></a> unit from your army that has not been selected to move this phase.<br><br><b>EFFECT:</b> Until the end of the phase, each time your unit Advances, do not make an <a href=""/wh40k10ed/the-rules/core-rules/#Advance-Moves"">Advance roll</a> for it. Instead, until the end of the phase, add 6"" to the Move characteristic of models in your unit."|
1096|TAU|REACTIVE IMPACT DAMPENERS|9984003|Experimental Prototype Cadre – Battle Tactic Stratagem|1.0|Advancements in battlesuit field technology include the addition of autoreactive shield dampers to absorb and dissipate the energy from high-velocity kinetic strikes.|Either player’s turn|Shooting or Fight phase|Experimental Prototype Cadre|1028.0|"<b>WHEN:</b> Your opponent’s <a href=""/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE"">Shooting phase</a> or the <a href=""/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE"">Fight phase</a>, just after an enemy unit has selected its targets.<br><br><b>TARGET:</b> One <span class=""tooltip00610"" data-tooltip-content=""#tooltip_content00610"" data-tooltip-anchor=""#tooltip_content00610""><span class=""kwb"">T’AU</span> <span class=""kwb"">EMPIRE</span> <span class=""kwb"">BATTLESUIT</span></span> unit from your army that was selected as the target of one or more of the attacking unit’s attacks.<br><br><b>EFFECT:</b> Until the end of the phase, each time an attack targets your unit, if the Strength characteristic of that attack is greater than the Toughness characteristic of your unit, subtract 1 from the <a href=""/wh40k10ed/the-rules/core-rules/#2.-Wound-Roll"">Wound roll</a>."|
1097|TAU|EXPERIMENTAL WEAPONRY|9984004|Experimental Prototype Cadre – Battle Tactic Stratagem|1.0|T’au scientists have distributed the latest prototype weapons amongst this cadre’s contingents, all optimised to increase reliability and accuracy.|Your turn|Shooting phase|Experimental Prototype Cadre|1028.0|"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE"">Shooting phase</a>.<br><br><b>TARGET:</b> One <span class=""kwb"">T’AU</span> <span class=""kwb"">EMPIRE</span> unit from your army that has not been selected to shoot this phase.<br><br><b>EFFECT:</b> Until the end of the phase, each time you roll one or more dice to determine the number of attacks made with a weapon equipped by a model in your unit, you can re-roll the result."|
1098|TAU|AUTOMATED REPAIR DRONES|9984002|Experimental Prototype Cadre – Strategic Ploy Stratagem|1.0|Much research is being placed into deploying miniaturised drones to affect battlefield repairs and dispense emergency medical treatments in combat.|Either player’s turn|Command phase|Experimental Prototype Cadre|1028.0|"<b>WHEN:</b> <a href=""/wh40k10ed/the-rules/core-rules/#COMMAND-PHASE"">Command phase</a>.<br><br><b>TARGET:</b> One <span class=""tooltip00610"" data-tooltip-content=""#tooltip_content00610"" data-tooltip-anchor=""#tooltip_content00610""><span class=""kwb"">T’AU</span> <span class=""kwb"">EMPIRE</span> <span class=""kwb"">BATTLESUIT</span></span> unit from your army.<br><br><b>EFFECT:</b> Select one <span class=""kwb"">BATTLESUIT</span> model in your unit: that model regains up to D3+1 lost wounds."|
1099|TAU|THREAT ASSESSMENT ANALYSER|9984006|Experimental Prototype Cadre – Wargear Stratagem|1.0|The Earth caste have been experimenting with implanting AI neurochip-technology into hand-held scanners, enabling the swift calculation of precise firing solutions.|Your turn|Shooting phase|Experimental Prototype Cadre|1028.0|"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE"">Shooting phase</a>.<br><br><b>TARGET:</b> One <span class=""kwb"">T’AU</span> <span class=""kwb"">EMPIRE</span> unit from your army that has not been selected to shoot this phase.<br><br><b>EFFECT:</b> Select the <span class=""kwb2 bluefont""><a href=""/wh40k10ed/the-rules/core-rules/#Sustained-Hits"">[SUSTAINED HITS 1]</a></span> or <span class=""kwb2 bluefont""><a href=""/wh40k10ed/the-rules/core-rules/#Lethal-Hits"">[LETHAL HITS]</a></span> ability. Until the end of the phase, ranged weapons equipped by models in your unit have the selected ability. You can instead select the <span class=""kwb2 bluefont""><a href=""/wh40k10ed/the-rules/core-rules/#Sustained-Hits"">[SUSTAINED HITS 1]</a></span>, <span class=""kwb2 bluefont""><a href=""/wh40k10ed/the-rules/core-rules/#Lethal-Hits"">[LETHAL HITS]</a></span> and <span class=""kwb2 bluefont""><a href=""/wh40k10ed/the-rules/core-rules/#Hazardous"">[HAZARDOUS]</a></span> abilities to apply to those weapons until the end of the phase.<br><br><b>RESTRICTIONS:</b> You cannot target the same unit with the Experimental Ammunition and Threat Assessment Analyser Stratagems in the same phase."|
1100|TAU|EXPERIMENTAL AMMUNITION|9984005|Experimental Prototype Cadre – Wargear Stratagem|1.0|From hardened warheads and amplified ion capacitors, to hyperaccelerated pulse fields and refined fusion cores, the T’au are forever innovating improvements to improve the lethality of their ammunition.|Your turn|Shooting phase|Experimental Prototype Cadre|1028.0|"<b>WHEN:</b> Your <a href=""/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE"">Shooting phase</a>.<br><br><b>TARGET:</b> One <span class=""kwb"">T’AU</span> <span class=""kwb"">EMPIRE</span> unit from your army that has not been selected to shoot this phase.<br><br><b>EFFECT:</b> Select one of the following to apply to your unit until the end of the phase:<br><ul><li>Improve the Strength characteristic of ranged weapons equipped by models in your unit by 1.</li><li>Improve the Strength and Armour Penetration characteristics of ranged weapons equipped by models in your unit by 1, and those weapons have the <span class=""kwb2 bluefont""><a href=""/wh40k10ed/the-rules/core-rules/#Hazardous"">[HAZARDOUS]</a></span> ability.</li></ul><br><b>RESTRICTIONS:</b> You cannot target the same unit with the Experimental Ammunition and Threat Assessment Analyser Stratagems in the same phase."|
1101|TAU|NEUROWEB SYSTEM JAMMER|9984007|Experimental Prototype Cadre – Wargear Stratagem|1.0|This prototype countermeasure device emits an intense neurostatic jamming field, scrambling the enemy’s senses and fouling their aim.|Opponent’s turn|Shooting phase|Experimental Prototype Cadre|1028.0|"<b>WHEN:</b> Your opponent’s <a href=""/wh40k10ed/the-rules/core-rules/#SHOOTING-PHASE"">Shooting phase</a>, just after an enemy unit has selected its targets.<br><br><b>TARGET:</b> One <span class=""tooltip00799"" data-tooltip-content=""#tooltip_content00799"" data-tooltip-anchor=""#tooltip_content00799""><span class=""kwb"">T’AU</span> <span class=""kwb"">EMPIRE</span> <span class=""kwb"">CRISIS</span></span> unit from your army that was selected as the target of one or more of the attacking unit’s attacks.<br><br><b>EFFECT:</b> Until the end of the phase, your unit can only be selected as the target of a ranged attack if the attacking model is within 18""."|
1102|TAU|WALL OF MIRRORS|8443007|Kauyon – Battle Tactic Stratagem|1.0|T’au Stealth Cadres utilise obfuscation fields and wide-band refraction beams to mask their advance.|Opponent’s turn|Fight phase|Kauyon|781.0|"<b>WHEN:</b> End of your opponent’s <a href=""/wh40k10ed/the-rules/core-rules/#FIGHT-PHASE"">Fight phase</a>.<br><br><b>TARGET:</b> One <a class=""kwbOne"" href=""/wh40k10ed/factions/t-au-empire/Stealth-Battlesuits""><span class=""kwb kwbo"">STEALTH</span></a>, <a class=""kwbOne"" href=""/wh40k10ed/factions/t-au-empire/Ghostkeel-Battlesuit""><span class=""kwb kwbo"">GHOSTKEEL</span></a> or <a class=""kwbOne"" href=""/wh40k10ed/factions/t-au-empire/Commander-Shadowsun""><span class=""kwb kwbo"">COMMANDER</span> <span class=""kwb kwbo"">SHADOWSUN</span></a> unit from your army.<br><br><b>EFFECT:</b> Remove your unit from the battlefield and place it into <a href=""/wh40k10ed/the-rules/core-rules/#Strategic-Reserves"">Strategic Reserves</a>.<br><br><b>RESTRICTIONS:</b> You cannot target a unit that is within <a href=""/wh40k10ed/the-rules/core-rules/#Engagement-Range"">Engagement Range</a> of one or more enemy units."|
